contract_id,underlying_ticker,expiration,strike,option_type,last_price,mark_price,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho,data_source
NVDA210528C00495000,NVDA,2021-05-28,495.0,call,154.37,154.82,150.9,7,158.75,7,1,3,2021-05-28,1.85386,0.99783,0.00011,-0.21586,0.00232,0.01352,alpha_vantage
NVDA210528P00495000,NVDA,2021-05-28,495.0,put,0.01,0.01,0.0,0,0.01,100,2,215,2021-05-28,1.63923,-0.00065,4e-05,-0.06356,0.00078,-1e-05,alpha_vantage
NVDA210528C00500000,NVDA,2021-05-28,500.0,call,146.6,150.10,146.8,7,153.4,7,40,99,2021-05-28,2.2636,0.98842,0.00039,-1.16642,0.0103,0.01348,alpha_vantage
NVDA210528P00500000,NVDA,2021-05-28,500.0,put,0.01,0.01,0.0,0,0.01,95,14,1398,2021-05-28,1.58069,-0.00067,4e-05,-0.06239,0.00079,-1e-05,alpha_vantage
NVDA210528C00505000,NVDA,2021-05-28,505.0,call,142.5,144.93,141.25,7,148.6,7,2,15,2021-05-28,1.99044,0.99327,0.00028,-0.63736,0.0064,0.01371,alpha_vantage
NVDA210528P00505000,NVDA,2021-05-28,505.0,put,0.01,0.01,0.0,0,0.01,100,61,463,2021-05-28,1.52216,-0.00068,5e-05,-0.06098,0.0008,-1e-05,alpha_vantage
NVDA210528C00510000,NVDA,2021-05-28,510.0,call,116.75,139.90,136.5,7,143.3,7,0,15,2021-05-28,1.87337,0.99412,0.00026,-0.53273,0.00568,0.01386,alpha_vantage
NVDA210528P00510000,NVDA,2021-05-28,510.0,put,0.01,0.01,0.0,0,0.01,100,142,1285,2021-05-28,1.46362,-0.00069,5e-05,-0.05932,0.00081,-1e-05,alpha_vantage
NVDA210528C00515000,NVDA,2021-05-28,515.0,call,135.21,134.95,130.9,7,139.0,1,1,3,2021-05-28,1.87337,0.99224,0.00034,-0.68092,0.00726,0.01397,alpha_vantage
NVDA210528P00515000,NVDA,2021-05-28,515.0,put,0.01,0.01,0.0,0,0.02,1,156,0,2021-05-28,1.4246,-0.0008,6e-05,-0.06666,0.00094,-1e-05,alpha_vantage
NVDA210528C00520000,NVDA,2021-05-28,520.0,call,130.65,129.70,126.85,7,132.55,7,18,61,2021-05-28,0.01976,1.0,0.0,-0.00071,0.0,0.01425,alpha_vantage
NVDA210528P00520000,NVDA,2021-05-28,520.0,put,0.02,0.01,0.0,0,0.17,9,19,551,2021-05-28,1.36606,-0.00081,6e-05,-0.06455,0.00095,-1e-05,alpha_vantage
NVDA210528C00525000,NVDA,2021-05-28,525.0,call,115.77,124.85,121.0,7,128.7,7,3,32,2021-05-28,1.56118,0.99598,0.00022,-0.31668,0.00405,0.01431,alpha_vantage
NVDA210528P00525000,NVDA,2021-05-28,525.0,put,0.01,0.01,0.0,0,0.04,6,0,0,2021-05-28,1.30753,-0.00082,6e-05,-0.06214,0.00095,-1e-05,alpha_vantage
NVDA210528C00527500,NVDA,2021-05-28,527.5,call,52.9,122.40,118.65,1,126.15,1,0,3,2021-05-28,1.63923,0.9933,0.00034,-0.52355,0.00638,0.01433,alpha_vantage
NVDA210528P00527500,NVDA,2021-05-28,527.5,put,0.01,0.01,0.0,0,0.02,1,2,237,2021-05-28,1.28802,-0.00089,7e-05,-0.06596,0.00102,-2e-05,alpha_vantage
NVDA210528C00530000,NVDA,2021-05-28,530.0,call,89.95,119.85,116.3,1,123.4,1,0,94,2021-05-28,1.50265,0.99573,0.00025,-0.32166,0.00427,0.01444,alpha_vantage
NVDA210528P00530000,NVDA,2021-05-28,530.0,put,0.02,0.01,0.0,0,0.01,1,0,689,2021-05-28,1.24899,-0.00082,7e-05,-0.05946,0.00095,-1e-05,alpha_vantage
NVDA210528C00532500,NVDA,2021-05-28,532.5,call,46.47,117.33,113.65,7,121.0,7,0,3,2021-05-28,1.4246,0.9966,0.00021,-0.24863,0.00348,0.01453,alpha_vantage
NVDA210528P00532500,NVDA,2021-05-28,532.5,put,0.01,0.01,0.0,0,0.04,1,0,278,2021-05-28,1.22948,-0.00089,7e-05,-0.06314,0.00103,-2e-05,alpha_vantage
NVDA210528C00535000,NVDA,2021-05-28,535.0,call,114.27,114.97,111.5,7,118.45,7,3,74,2021-05-28,1.61972,0.99023,0.00047,-0.72015,0.00888,0.01448,alpha_vantage
NVDA210528P00535000,NVDA,2021-05-28,535.0,put,0.02,0.01,0.0,0,0.02,2,19,491,2021-05-28,1.19046,-0.00082,7e-05,-0.05649,0.00095,-1e-05,alpha_vantage
NVDA210528C00537500,NVDA,2021-05-28,537.5,call,86.6,112.35,108.75,1,115.95,7,0,10,2021-05-28,1.40509,0.99555,0.00027,-0.31185,0.00443,0.01465,alpha_vantage
NVDA210528P00537500,NVDA,2021-05-28,537.5,put,0.04,0.01,0.0,0,0.01,2,2,144,2021-05-28,1.17095,-0.00089,8e-05,-0.06002,0.00103,-2e-05,alpha_vantage
NVDA210528C00540000,NVDA,2021-05-28,540.0,call,108.73,110.10,107.0,7,113.2,7,7,135,2021-05-28,1.67825,0.98425,0.00069,-1.1278,0.01343,0.01451,alpha_vantage
NVDA210528P00540000,NVDA,2021-05-28,540.0,put,0.01,0.01,0.0,0,0.01,3,64,1027,2021-05-28,1.15144,-0.00096,8e-05,-0.06381,0.00111,-2e-05,alpha_vantage
NVDA210528C00542500,NVDA,2021-05-28,542.5,call,103.4,107.42,103.75,7,111.1,7,1,24,2021-05-28,1.46362,0.99166,0.00046,-0.56658,0.00773,0.01471,alpha_vantage
NVDA210528P00542500,NVDA,2021-05-28,542.5,put,0.0,0.01,0.0,0,0.01,10,30,174,2021-05-28,1.11241,-0.00088,8e-05,-0.05661,0.00102,-2e-05,alpha_vantage
NVDA210528C00545000,NVDA,2021-05-28,545.0,call,103.25,105.00,101.65,7,108.35,7,3,49,2021-05-28,1.52216,0.98768,0.00062,-0.82794,0.01087,0.01471,alpha_vantage
NVDA210528P00545000,NVDA,2021-05-28,545.0,put,0.03,0.01,0.0,0,0.01,1,47,469,2021-05-28,1.0929,-0.00096,9e-05,-0.06022,0.0011,-2e-05,alpha_vantage
NVDA210528C00547500,NVDA,2021-05-28,547.5,call,94.6,102.12,99.45,7,104.8,7,1,182,2021-05-28,0.01976,1.0,0.0,-0.00075,0.0,0.015,alpha_vantage
NVDA210528P00547500,NVDA,2021-05-28,547.5,put,0.02,0.01,0.0,0,0.01,1,8,200,2021-05-28,1.07339,-0.00105,0.0001,-0.06411,0.00119,-2e-05,alpha_vantage
NVDA210528C00550000,NVDA,2021-05-28,550.0,call,100.33,99.85,96.35,7,103.35,7,63,501,2021-05-28,1.24899,0.9951,0.00033,-0.30237,0.00483,0.01498,alpha_vantage
NVDA210528P00550000,NVDA,2021-05-28,550.0,put,0.01,0.01,0.0,0,0.01,3,150,2041,2021-05-28,1.03437,-0.00095,9e-05,-0.05634,0.00109,-2e-05,alpha_vantage
NVDA210528C00552500,NVDA,2021-05-28,552.5,call,92.6,97.93,95.65,7,100.2,7,3,221,2021-05-28,1.67825,0.97063,0.00117,-1.90857,0.02274,0.0146,alpha_vantage
NVDA210528P00552500,NVDA,2021-05-28,552.5,put,0.01,0.01,0.0,0,0.01,1,28,275,2021-05-28,1.01485,-0.00104,0.0001,-0.06003,0.00118,-2e-05,alpha_vantage
NVDA210528C00555000,NVDA,2021-05-28,555.0,call,94.65,95.62,93.95,7,97.3,7,8,103,2021-05-28,1.71728,0.96399,0.00135,-2.31041,0.0269,0.01454,alpha_vantage
NVDA210528P00555000,NVDA,2021-05-28,555.0,put,0.01,0.01,0.0,0,0.02,1,108,721,2021-05-28,0.99534,-0.00114,0.00011,-0.06402,0.00129,-2e-05,alpha_vantage
NVDA210528C00557500,NVDA,2021-05-28,557.5,call,92.33,92.22,89.55,7,94.9,7,5,162,2021-05-28,0.01976,1.0,0.0,-0.00076,0.0,0.01527,alpha_vantage
